Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
57	0.005,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
146	0.02,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
110	0.015,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
158	0.02,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
237	0.03,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
234	0.03,	0.8999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
275	0.035,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
144	0.02,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
239	0.03,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
182	0.025,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
116	0.015,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
58	0.005,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
192	0.025,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
255	0.035,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
77	0.01,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
123	0.015,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
184	0.025,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
52	0.005,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
235	0.03,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
12	0.0,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
262	0.035,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
274	0.035,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
201	0.025,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
209	0.025,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
37	0.005,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
298	0.04,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
308	0.04,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
289	0.04,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
208	0.025,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
42	0.005,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
21	0.0,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
238	0.03,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
136	0.015,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
276	0.035,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
288	0.04,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
46	0.005,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
217	0.03,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
49	0.005,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
220	0.03,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
24	0.0,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
223	0.03,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
199	0.025,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
311	0.04,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
83	0.01,	0.7,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
124	0.015,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
15	0.0,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
313	0.04,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
173	0.02,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
258	0.035,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
29	0.0,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
159	0.02,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
94	0.01,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
256	0.035,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
198	0.025,	0.8999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
253	0.035,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
293	0.04,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
152	0.02,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
252	0.035,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
134	0.015,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
216	0.03,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
233	0.03,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
114	0.015,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
257	0.035,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
314	0.04,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
92	0.01,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
75	0.01,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
261	0.035,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
79	0.01,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
