Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
280	0.035,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
241	0.03,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
225	0.03,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
186	0.025,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
185	0.025,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
315	0.04,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
63	0.005,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
302	0.04,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
229	0.03,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
5	0.0,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
68	0.005,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
297	0.04,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
53	0.005,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
19	0.0,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
105	0.01,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
202	0.025,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
87	0.01,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
155	0.02,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
67	0.005,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
305	0.04,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
236	0.03,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
57	0.005,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
146	0.02,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
110	0.015,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
158	0.02,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
34	0.0,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
237	0.03,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
153	0.02,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
56	0.005,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
234	0.03,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
275	0.035,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
163	0.02,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
144	0.02,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
239	0.03,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
