Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
89	0.01,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
309	0.04,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
171	0.02,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
273	0.035,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
263	0.035,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
157	0.02,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
130	0.015,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
112	0.015,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
45	0.005,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
268	0.035,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
280	0.035,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
241	0.03,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
225	0.03,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
186	0.025,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
122	0.015,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
185	0.025,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
315	0.04,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
63	0.005,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
292	0.04,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
302	0.04,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
229	0.03,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
5	0.0,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
68	0.005,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
297	0.04,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
53	0.005,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
19	0.0,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
105	0.01,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
202	0.025,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
87	0.01,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
67	0.005,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
305	0.04,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
236	0.03,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
57	0.005,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
146	0.02,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
